"";"N";"Y"
"Posture_Posture.1";20;20
"Posture_Posture.2";64,4444444444444;64,4444444444444
"Posture_Posture.3";20;20
"Interaction_Interaction.1";11,1111111111111;11,1111111111111
"Interaction_Interaction.2";86,6666666666667;86,6666666666667
"Interaction_Interaction.3";4,44444444444445;4,44444444444445
"Activity_Activity.1";64,4444444444444;64,4444444444444
"Activity_Activity.2";4,44444444444445;4,44444444444445
"Activity_Activity.3";22,2222222222223;22,2222222222223
"Lift.Pelvic.Limb_Lift.Pelvic.Limb.1";11,1111111111111;11,1111111111111
"Scratching.Rubbing_Scratching.Rubbing.1";0;0
"Walk.Away.Run_Walk.Away.Run.1";37,7777777777778;37,7777777777778
"Sit.With.Difficulty_Sit.With.Difficulty.1";93,3333333333334;93,3333333333334
"Continuously.Balances_Continuously.Balances.1";91,1111111111112;91,1111111111112
"Bite.Grill_Bite.Grill.1";13,3333333333334;13,3333333333334
"Head.Down_Head.Down.1";100;100
"Difficulty.Overcoming_Difficulty.Overcoming.1";2,22222222222223;2,22222222222223
